SMILES,shift_value
FC(Cl)(Cl)Cl,0.0
FC(F)(F)Br,-5.0
FC(F)(F)I,-5.1
FC(F)(Br)OC1=CC=CC=C1,-13.0
COC(=O)F,-19.0
FC(F)(Br)SC1=CC=CC=C1,-22.0
FC(F)(Cl)OC1=CC=C(Cl)C=C1,-26.0
CCCCCCCCOC(F)(F)Cl,-27.0
FC(F)(F)Cl,-28.0
FC1=NC(F)=NC(F)=N1,-33.0
O=C1OC(C(F)(F)F)C2=C1C=CC=C2,-34.0
FC(F)(I)CCI,-39.0
FC(Cl)(Cl)C(F)(Cl)Cl,-39.0
CC1(C)OC(C(F)(F)F)C2=C1C=CC=C2,-40.0
C=CC(F)(F)I,-42.0
FC(F)(OC1=CC=CC=C1)SC1=CC=CC=C1,-43.0
FC(F)(F)SC1=CC=CC=C1,-43.0
CC1=NC(F)=NC(Cl)=C1,-44.0
FC1=NC=CC=N1,-44.0
FC(F)(Br)C1=CC=CC=C1,-44.0
CCCCCC(F)(F)Br,-44.0
CC(F)(Cl)Cl,-44.0
FC(F)(Br)C1=CC=C(C(F)(F)Br)C=C1,-46.0
CC(F)(F)Cl,-46.0
N#CC(F)(F)I,-46.5
CCCCSC(F)(F)F,-48.0
FC(F)(SC1=CC=CC=C1)SC1=CC=CC=C1,-49.0
CCCCCCCCC(F)(F)Cl,-49.0
CCCCNC(F)(F)F,-49.0
FC(F)(Cl)C1=CC=C(C(F)(F)Cl)C=C1,-50.0
O=[N+]([O-])C(F)F,-50.7
CN(C)C(=O)C(F)(F)I,-51.0
FC(Cl)(Br)CC1=CC=CC=C1,-52.0
C#CC(F)(F)F,-52.0
FC(F)(F)C1=C(C(F)(F)F)C(C(F)(F)F)=C(C(F)(F)F)C(C(F)(F)F)=C1C(F)(F)F,-52.3
CC1NC(NC(=O)[C@@H]2CCCO2)SC1C(F)(F)F,-52.63
FC(F)(F)C#CC(F)(F)F,-53.0
FC(F)(F)C1=C(C2=CC=CC=C2)NC2=CC=CC=C21,-53.0
C#CC1=CC=C(C(F)(F)F)S1,-53.0
COC(=O)C(F)(F)[N+](=O)[O-],-53.0
O=C(C1=CC=CC=C1)C(F)(F)I,-54.0
CN(C)C(=O)C(F)(F)Br,-54.0
CC1=CC=C(S(=O)(=O)OC(F)(F)F)C=C1,-54.0
OC(F)(F)F,-54.0
NC1NCC(C(F)(F)F)S1,-54.77
FC(F)(F)C1CCCNC1N1CCC2(CCCOC2)C1,-54.96
FC(F)(F)C1=CC=CS1,-55.0
FC(Cl)(Cl)CC1=CC=CC=C1,-56.0
CC1=CC(C(F)(F)F)=C(C)N1CC(C)C,-56.0
FC(F)(F)C1=NC(Cl)=C(Cl)S1,-56.0
FC(F)(OC1=CC=CC=C1)OC1=CC=CC=C1,-56.0
CN1CC(C(=O)O)C(C(F)(F)F)C1,-56.05
O=S(=O)(C1CCCCC1OC(F)(F)F)N1CCCC1,-56.35
CC1N[NH]CC1C(F)(F)F,-56.4
CN1NCC(C(F)(F)F)C1C(=O)O,-56.64
FC(F)(F)C1=CC2=CC=CC=C2S1,-57.0
C#CC1=C(C(F)(F)F)C=CO1,-57.0
N=C(C1=CC=CC=C1)C(F)(F)F,-57.0
Cl.N[C@@H]1C[C@H]1C1CCCCC1OC(F)(F)F,-57.38
O=C1CC(OC(F)(F)F)CC[NH]1,-57.58
O=C(C1CCC(OC(F)(F)F)CC1)N1CCOCC1,-57.79
O=C(C1CCC(OC(F)(F)F)CC1)N1CCC(O)CC1,-57.79
CCOC(=O)C(F)(F)I,-57.9
CCCOC(=O)CC(F)(F)Cl,-58.0
CCOC(=O)C(F)(Br)OC1=CC=CC=C1,-58.0
N#CC1=CC(C(F)(Br)Br)=CC=C1,-58.0
O=C(C1=CC=CC=C1)C(F)(F)Br,-58.0
FC(F)(F)OC1=CC=CC=C1,-58.0
[H]C(=C1CCCCC1)C(F)(F)F,-58.0
FC(F)(F)OC1CC2CCC21,-58.0
[H]/C(C1=CC=CC=C1)=C(\[H])C(F)(F)F,-58.0
C[Si](C)(C)C(F)(F)Cl,-58.0
CC1(C)OB(CC(F)(F)F)OC1(C)C,-58.0
OCC1NC(-C2CCCCC2C(F)(F)F)NS1,-58.25
O=C(C1CC1)N1CCOC(C2CCCCC2C(F)(F)F)C1,-58.36
FC(F)(F)C1CCCCC1C1CNCCO1,-58.37
CN1CCCC(NC(=O)C2CCCCC2C(F)(F)F)C1=O,-58.57
CC1NOC(C)C1NC(=O)C1CCCCC1C(F)(F)F,-58.88
CCCC/C=C\C(F)(F)F,-59.0
[H]/C(CCCC)=C(\[H])C(F)(F)F,-59.0
FC(F)(F)C1=CC=CN1,-59.0
CP(C)CC(F)(F)F,-59.0
[H]C1=C(C(F)(F)F)ON=C1C,-59.0
CCN(CC)C(F)(F)F,-59.0
CN1CCC(NC(=O)C2CCCCC2C(F)(F)F)N1,-59.08
CNC1CCC(OC(F)(F)F)CN1,-59.17
O=C(O)CC1CC(C(F)(F)F)CO1,-59.35
CC1=C(C(F)(F)F)SC(Cl)=N1,-59.4
CN(C)C(=O)C1C[NH]C(C(F)(F)F)C1,-59.53
FC(F)(F)C1=CC=CC=C1C(F)(F)F,-59.6
NC1CCC(C(F)(F)F)CC1N,-59.62
CC1CCCC(C(=O)N2CCC(O)(C(F)(F)F)C2)C1C,-59.62
O=C(C1CCCCC1C(F)(F)F)N1CCSCC1,-59.66
CN1NC(C(=O)O)C(Cl)C1C(F)(F)F,-59.85
CN1[NH]C(C(F)(F)F)C(-C2CCC(Cl)CC2)C1=N,-59.9
O=C(CC1CCCCC1C(F)(F)F)N1CCCNCC1,-59.95
FC(F)(F)C1CNC2[NH]NNC2C1,-59.97
O=C1[NH]CNC2C(C(F)(F)F)CCCC12,-59.99
CCCCCCCCCCOC(F)(F)F,-60.0
FC(F)(F)C1=NC=CS1,-60.0
FC(F)(F)C1=CSC=C1,-60.0
FC(F)(F)C1=CC=CC2=CC=CC=C21,-60.0
[H]C1=C(C)ON=C1C(F)(F)F,-60.0
FC(F)(F)C1=NNC2=CC=CC=C21,-60.0
CN(C1=CC=CC=C1)C(F)(F)F,-60.0
[H]C1=C(C(F)(F)F)N=NN1C1=CC=CC=C1,-60.0
[H]/C(=C(/C)C(=O)C1=CC=CC=C1)C(F)(F)F,-60.0
N#CC(F)F,-60.0
