SMILES,shift_value
O=S(=O)(N[C@@H]1C[C@H]1C1CCC(F)CC1)C1CCCO1,-117.37
OC1NCN(-C2CCC(C(F)(F)F)CC2)N1,-61.7
CC1(C)CN(C(=O)CC2CCCCC2F)CCS1(=O)=O,-117.64
CNC(=O)N1CCC(CC(F)(F)F)CC1,-62.83
CN(C(=O)CC1CCC(F)CC1)C1CCCC(C#N)C1,-116.45
O=C(NC1CCCCNC1=O)C1CCCC(F)C1,-112.51
CN1C(=O)N(CC2CCCC(F)C2)C(=O)C12CCCCC2,-113.07
O=C1NCCC[C@@H]1NC1NCCCC1F,-139.5
O=C(NC1CCCC(Cl)C1F)C1CCCO1,-124.09
CC(=O)NC1CN(C(=O)C2CC3CC(F)CCC3O2)C1,-123.47
C[C@H](CO)N(C)C1NCC(Cl)CC1F,-124.86
CC1CC(NC(=O)CN2CCC3CCC(F)CC32)N(C)N1,-116.26
[H]C1=C([H])N(C)N=C1F,-129.0
CC1CSCCN(C2NCC(F)CN2)C1,-157.19
[H]C1=NN(C2=CC=CC=C2)C([H])=C1F,-176.0
CC(C)(F)Cl,-87.0
CCC1(O)CCN(C2NCCCC2F)CC1,-126.76
CC(C)(N)C1NC(C(F)(F)F)CC(=O)[NH]1.Cl,-70.47
CC(O)CNC1CCC2CCC(F)CC2N1,-110.56
FC(F)(F)C1CCN(CC2CCON2)N1,-61.64
COCC1CC(=O)C2CC(F)CCC2[NH]1,-115.77
COC1CCC(C(=O)N2CCCC(C)C2)CC1F,-135.36
CNC(=O)N1CC=C(C2CCCCC2F)C1,-113.41
O=C(NCC1CC12CC2)C1SCCC1F,-120.44
CC(N)C1NNC2C(Cl)CC(C(F)(F)F)CN12.Cl,-62.6
C[C@@H]1C[C@H](O)CN(C2NCCCC2F)C1,-127.3
[H]C(F)(CCCCCCCC)OC(C)=O,-129.0
O=C(NC1CCCCC1F)N1CCCCN1,-127.46
FC(F)(F)C1=CSC=C1,-60.0
FC(F)(F)C1CC2CC[NH]C2CN1,-64.86
C[C@@H]1CN(CC2C(F)CCCC2Cl)CCN1,-110.79
O=C(C1CC=CCC1)N1CC(CC(F)F)C1,-116.84
CC1CCC(F)C(C(=O)NCC2(C)CCNCC2)C1.Cl,-120.77
F/C(Cl)=C(\F)Cl,-106.0
FC(F)(F)C1=NC=CC2=CC=CC=C21,-63.0
FCC1CCCCC1,-207.0
CC(NC(=O)NC1CCCCC1F)C1CCCNC1,-127.74
CC1CCC(F)CC1CN1NCN(C)C1=O,-117.63
[H]C(F)(SCC)C(=O)OCC,-163.0
FC(F)(F)C1=CN=CN1,-62.0
O=C(C1CNCC(F)C1)N1CCCC2CCCC(Cl)C21,-124.39
CN1NCC2CCC(F)C(C(=O)O)C21,-119.69
O=C(NCC1CCCNC1)C1C(F)CCCC1Cl,-115.03
CC[C@@H]1C[C@H]1NC(=O)C1CC(F)C[NH]1,-163.97
O=C(COC1CCC(F)C(Cl)C1)N1CCNC1=O,-125.84
CC(N1CCN(S(C)(=O)=O)CC1)C(F)(F)F,-71.02
CCCCCCCCC(F)N1C=NC2=CC=CC=C21,-136.0
N#CCC1CCC(F)CN1,-127.65
CC1CCC(F)CC1C(=O)NC1NNCN1C,-117.21
CC(C)(F)C(=O)C1=CC=CC=C1,-144.0
CC1CC(C(=O)NC2(C(F)F)CC2)N(C)N1,-120.71
O=C(NC1CCCCC1F)NC1CCCS(=O)(=O)C1,-127.14
O=C(CC1CCCC(F)C1)NC1CCC(O)CC1,-113.58
CN1CC(C(=O)N2CCOC3CC(F)CCC32)CCC1=O,-114.99
CC(C)C(F)(F)C(C)C,-120.0
CS(=O)(=O)NC1(C2CCC(F)CC2)CC1,-115.75
CC1CN(C(=O)NC2CCC(F)CC2Cl)CC(C)O1,-114.37
NC(=O)C1CCN(C(=O)C2CC(Cl)CCC2F)CC1,-119.59
CC1CCC(C(=O)NC2(C(=O)O)CCSC2)CC1F,-117.61
CN1CNNC1NC(=O)C1CCC(C(F)(F)F)CC1,-62.69
FC(F)OC1=NC(Cl)=CC=C1,-89.0
CCSC(C)F,-142.0
CC1=CCN(C(=O)NC2CCC(F)CC2)CC1,-117.92
CC(C1CCCCC1F)N(C)C(=O)NC1NNCS1,-117.37
FC(F)(F)CI,-65.6
O=C(C1CCCO1)N1CC(O)(C(F)F)C1,-134.59
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,-120.0
F[Si](F)(F)F,-163.3
CCOC(=O)CC(F)C1=CC=CC=C1,-173.0
O=[N+]([O-])C1=CC=C(SC(F)F)C=C1,-91.6
O=C(NC1CCNCC1F)N[C@@H]1C[C@H]1CO,-144.9
FC(F)CC1=CC=CC=C1,-115.0
CCOC(=O)C1CCC(C(F)(F)F)CC1,-63.6
O=C(NCC1NCC[NH]1)NC1CCCC(F)C1,-112.52
CC1CC(C(F)(F)F)NC(-N2CCNC2)N1,-69.85
[H]C([H])=C(F)F,-81.0
N#CC1CCCNC1OC1CCC(F)CC1,-116.93
O=C1NCCCCC1NC1CCC(F)CC1,-126.97
O=C1CCC(C2CCC(F)CC2)N1,-115.44
CC(=O)NC1CCN(C(=O)C2CCC(F)C(C)C2)CC1,-114.85
O=C(O)C1CCN(-C2CCC(F)CC2)N1,-115.74
CC(NC(=O)NC1CCC(F)CN1)C1CCCCN1,-135.42
CCCCCCC(C)C(F)(F)F,-74.0
O=C(C1=CC=C(C=C1)C(F)(F)F)C2=CC=C(C=C2)C(F)(F)F,-64.4
FC1CCCCC1NCC1CSCN1,-134.84
FC(F)(F)/C=C/C=C/C1=CC=CC=C1,-63.0
CC(C)(O)C(=O)N1CCCC(C2CCC(F)CC2)CC1,-117.35
NC(=O)C1(C2CCC(F)CC2)CC1,-114.58
CC1NC(CN2CCCC(C(F)(F)F)C2=O)NO1,-65.9
Cl.NC[C@@H]1C[C@H]1C1CCCC(C(F)(F)F)C1,-62.25
CC1CCC(C(=O)NC2CC2)CC1F,-116.87
C=C(F)CO,-108.0
CC1CCCC(F)C1S(=O)(=O)NC1CCCCN1,-115.74
O=C(C1CCCC(Cl)C1F)N1CCOCC1,-119.59
CS(=O)(=O)NC1CC(NC(=O)C2CCCO2)CCC1F,-128.97
N=C(C1=CC=CC=C1)C(F)(F)F,-57.0
CC1CC(F)CC(C(=O)N2CCCCC2C2NC[NH]N2)C1,-113.9
FC1CCC(OC2CCOC2)C(Cl)C1,-120.75
[H]C1(C(F)(F)F)CCC(CCCC)CC1,-75.0
[H]C1=C(C)N(C2=CC=CC=C2)N=C1C(F)(F)F,-62.5
N#CC1CN(CC2CCCC(F)C2)CCO1,-113.77
FC(F)(C1CCC(Br)CC1)C(F)(F)C1CCC(Br)CC1,-112.31
FC(F)C(F)F,-138.0
CC1NSCC1C(=O)NC1CCC2C(C1F)CCNC2,-128.1
O=C(CC1CCOC1)N1CCOC(CF)C1,-232.24
CC1CC(F)CC(C(=O)N2CCCC2C(=O)O)C1,-114.05
O=C(C1=CC=C(F)C=C1)C2=CC=C(OC)C=C2,-119.4
CCCCSCC(F)(F)F,-69.0
FC(F)(F)OC1CC2CCC21,-58.0
CC1CCOC1CN1C[C@H](F)C[C@H]1C(N)=O,-170.31
FC1CCC2NCNC(NC3CC3)C2C1,-111.85
O=C(NCC1CCCC(F)C1)NC1NCCS1,-113.45
CC1CCCC(NC2CCNC2=O)C1F,-139.35
CN1CCC(C(=O)N2C[C@@H](F)C[C@H]2CO)C1,-167.76
FC(F)(F)C1CCCNC1,-62.1
CC(C)(C)C(F)(F)F,-81.0
NC1CCN(-C2NCCCC2F)N1,-129.47
O=C1NC(=O)C(C2CCC(Cl)C(F)C2)N1,-115.11
NC(=O)NC1(C2CCCCC2F)CC1,-117.19
O=C(O)C1OCNC1C(F)F,-116.56
FC(Cl)(Cl)/C=C/Cl,-63.94
[H]N1C=C(F)C(N)=NC1=O,-171.0
O=C(C1CCCO1)C(F)(F)C1=CC(Cl)=CC=C1,-102.0
CN(CC1CCNCC1F)C1CCN(C)N1,-131.41
N#CC1CCC(CN2NCCCC2=O)CC1F,-107.34
CC1CNC(CN2C(C(F)(F)F)CSC2=O)CN1,-63.44
CN1CN(C(=O)C2CCCC(F)C2)CC1=O,-111.77
NC1[NH]C(=O)NCC1F,-168.4
O=C(CC1CCCC(F)C1)N1CCC1,-113.59
FC(F)(F)N1CCCN1,-60.7
CC1CC(C(=O)N2CCOC3CCCC(F)C32)NO1,-117.86
O=C(CN1CCNC1)NC1CCCC(F)C1,-112.03
O=C(NC1(C(F)(F)F)CCC2CCCCC21)[C@@H]1CCCO1,-78.35
CCC(F)(F)C(C)=O,-110.0
FC(F)(C1CCC(Cl)CC1)C1CCC(Cl)CC1,-89.06
FC(F)(Cl)C(F)(F)Cl,-71.1461
CNC(=O)N[C@@H]1CCCC[C@@H]1C(F)(F)F,-69.54
CN=S(=O)(C1=CC=CC=C1)C(F)(F)F,-72.0
CN1CCCC(NC(=O)C2CCCCC2C(F)(F)F)C1=O,-58.57
O[C@H]1C[C@@H](CNC2CCC(F)CC2)C1,-126.76
N#CC(F)(F)C1=CC=CC=C1,-83.5
CC1CNCC(N2CCCC(C(F)(F)F)C2)N1,-72.43
CC1CCN(S(=O)(=O)C2CC(CO)CCC2F)CC1,-111.38
C/C=C(\C1=CC=CC=C1)C(F)F,-117.0
CC1NCCCC1NC(=O)CC1CCC(F)CC1,-115.95
COC1CCC(C(F)(F)C(F)(F)C2CCC(OC)CC2)CC1,-111.49
CNC(=O)C1(C2CCCCC2F)CCCC1,-112.21
[H]C(F)(CCCCCC)P(=O)(OCC)OCC,-228.0
CC1CC(C2CCCCC2F)N(C(=O)CC2(N)CCC2)C1.Cl,-120.33
CC(=O)NC1CCCC2CC(OC(F)F)CCC21,-81.76
O=C(C1CCCCC1F)N1CCN(C2NCCS2)CC1,-116.87
COCC(F)(F)F,-73.3
[H]C1=C(C(F)F)N(C2=CC=CC=C2)N=C1C1=CC=CC=C1,-110.0
CC1CC(O)NC(C(F)(F)F)N1,-71.09
CC(NC(=O)C1CCCCC1F)C1CC1,-115.95
O=C1NCCC[C@@H]1NC1NCC(Cl)CC1F,-136.6
C[C@@H](CO)NC1NCC(Cl)CC1F,-136.27
CCOC1OC(-C2CCCCC2)CC1C(F)(F)F,-58.12
CS(=O)(=O)[C@@H]1CNC[C@H]1C(F)(F)F,-69.52
O=C(NCC1CCCC(F)C1)N[C@@H]1C[C@H]2CC[C@@H]1O2,-113.73
CN(C(=O)C1CCC(CO)C(F)C1)C1CC1,-118.7
O=C1CC(C2CCC(F)CC2)CN1,-116.52
CC1CC(C(=O)O)C(C(F)(F)F)O1,-61.73
O=C1CC(OC(F)(F)F)CC[NH]1,-57.58
CS(=O)C(F)(F)F,-80.0
O=C(NCC(F)(F)F)N1CC2CCCCCC21,-73.03
CC(C)(O)C1CCCN1C(=O)CC1CCC(F)CC1Cl,-113.6
FC(F)(F)C1=NC(Cl)=C(Cl)S1,-56.0
N[C@H]1CCN(C(=O)C2CCN(-C3CCCC(F)C3)N2)C1,-111.23
CCOC(=O)/C=C(/F)C1CCCCC1,-96.16
FC(F)C1=CC=CC=C1,-115.0
